#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#2,#3,#4,#5,#6,#7,#8,#9,#10
gun_5_x1_alt,,127,gun_5_x1_alt,,,dd_s_gun_d_102_x1,1.45,1.57,0.85,0.689655172,dd_s_gun_d_102_x1,1.45,1.57,0.85,0.689655172,dd_s_gun_c_102_x1,1.45,1.57,0.85,0.689655172,dd_s_gun_b_102_x1,1.45,1.57,0.85,0.689655172,dd_s_gun_b_102_x1,1.45,1.57,0.85,0.689655172,,,,,,,,,,
gun_5_x2_alt,,127,gun_5_x2_alt,,,maine_gun_152_x2,1.186,1.34,0.95,0.84317032,maine_gun_152_x2,1.186,1.34,0.95,0.84317032,dreadnought_gun_178_x2,1.004,1.13,0.95,0.996015936,pola_gun_100_x2,1.004,1.13,0.95,0.996015936,atl_gun_125_x2,1.004,1.13,0.95,0.996015936,,,,,,,,,,
gun_5_x3_alt,,127,gun_5_x3_alt,,,maine_gun_152_x3,1.186,1.34,0.75,0.84317032,maine_gun_152_x3,1.186,1.34,0.75,0.84317032,dreadnought_gun_178_x3,1.004,1.13,0.75,0.996015936,pola_gun_100_x3,1.004,1.13,0.75,0.996015936,atl_gun_125_x3,1.004,1.13,0.75,0.996015936,,,,,,,,,,
gun_6_x1_alt,,152,gun_6_x1_alt,,,dd_s_gun_d_102_x1,1.345,1.4805,0.75,0.743494424,dd_s_gun_c_102_x1,1.345,1.4805,0.75,0.743494424,dd_s_gun_c_102_x1,1.345,1.4805,0.75,0.743494424,dd_s_gun_b_102_x1,1.345,1.4805,0.75,0.743494424,dd_s_gun_b_102_x1,1.345,1.4805,0.75,0.743494424,,,,,,,,,,
gun_6_x2_alt,,152,gun_6_x2_alt,,,tsesarevich_gun_152_x2,0.955,1.0895,0.86,1.047120419,dreadnought_gun_178_x2,1.14,1.266,0.86,0.877192982,dreadnought_gun_178_x2,1.14,1.266,0.86,0.877192982,dido_gun_cal133_x2,1.14,1.266,0.86,0.877192982,yamato_gun_155_x2,0.7772,0.8808,0.86,1.286670098,,,,,,,,,,
gun_6_x3_alt,,152,gun_6_x3_alt,,,tsesarevich_gun_152_x3,0.955,1.0895,0.66,1.047120419,dreadnought_gun_178_x3,1.14,1.266,0.66,0.877192982,dreadnought_gun_178_x3,1.14,1.266,0.66,0.877192982,dido_gun_cal133_x3,1.14,1.266,0.66,0.877192982,yamato_gun_155_x3,0.7772,0.8808,0.66,1.286670098,,,,,,,,,,
gun_7_x2_alt,,178,gun_7_x2_alt,,,tsesarevich_gun_152_x2,1.1095,1.244,0.9,0.901306895,dreadnought_gun_178_x2,1.276,1.402,0.9,0.78369906,dreadnought_gun_178_x2,1.276,1.402,0.9,0.78369906,mont_gun_152_x2,1.057,1.167,0.9,0.946073794,british_adv_cruiser_152_gun_x2,0.958,1.01,0.9,1.043841336,,,,,,,,,,
gun_7_x3_alt,,178,gun_7_x3_alt,,,tsesarevich_gun_152_x3,1.1095,1.244,0.705,0.901306895,dreadnought_gun_178_x3,1.276,1.402,0.705,0.78369906,dreadnought_gun_178_x3,1.276,1.402,0.705,0.78369906,mont_gun_152_x3,1.057,1.167,0.705,0.946073794,british_adv_cruiser_152_gun_x3,0.958,1.01,0.705,1.043841336,,,,,,,,,,
gun_8_x2_alt,,203,gun_8_x2_alt,,,friedrich_gun_228_x2,0.8194,0.8976,0.88,1.220405175,agamemnon_gun_228_x2,1.0184,1.1311,0.88,0.981932443,nelson_gun_152_x2,1.1544,1.2626,0.88,0.866250866,mont_gun_152_x2,1.184,1.294,0.88,0.844594595,british_adv_cruiser_152_gun_x2,1.05,1.237,0.88,0.952380952,,,,,,,,,,
gun_8_x3_alt,,203,gun_8_x3_alt,,,friedrich_gun_228_x3,0.8194,0.8976,0.69,1.220405175,agamemnon_gun_228_x3,1.0184,1.1311,0.69,0.981932443,nelson_gun_152_x3,1.1544,1.2626,0.69,0.866250866,mont_gun_152_x3,1.184,1.294,0.69,0.844594595,british_adv_cruiser_152_gun_x3,1.05,1.237,0.69,0.952380952,,,,,,,,,,
gun_9_x2_alt,,229,gun_9_x2_alt,,,friedrich_gun_228_x2,0.9076,0.9858,0.82,1.101806963,agamemnon_gun_228_x2,1.1411,1.2538,0.82,0.876347384,nelson_gun_152_x2,1.2726,1.3808,0.82,0.785792865,mont_gun_152_x2,1.311,1.421,0.82,0.762776506,british_adv_cruiser_152_gun_x2,1.037,1.136,0.82,0.964320154,,,,,,,,,,
gun_9_x3_alt,,229,gun_9_x3_alt,,,friedrich_gun_228_x3,0.9076,0.9858,0.64,1.101806963,agamemnon_gun_228_x3,1.1411,1.2538,0.64,0.876347384,nelson_gun_152_x3,1.2726,1.3808,0.64,0.785792865,mont_gun_152_x3,1.311,1.421,0.64,0.762776506,british_adv_cruiser_152_gun_x3,1.037,1.136,0.64,0.964320154,,,,,,,,,,
gun_10_x2_alt,,254,gun_10_x2_alt,,,brandenburg_gun_279_x2,0.979,1.06,0.9,1.02145046,dreadnought_gun_b_305_x2,0.954,1.035,0.9,1.048218029,nelson_gun_406_x2,0.6908,0.754,0.9,1.447596989,kgeorge_gun_380_x2,0.675,0.7275,0.9,1.481481481,richelieu_gun_380_x2,0.675,0.7275,0.9,1.481481481,,,,,,,,,,
gun_10_x3_alt,,254,gun_10_x3_alt,,,brandenburg_gun_279_x3,0.979,1.06,0.68,1.02145046,dreadnought_gun_b_305_x3,0.954,1.035,0.68,1.048218029,nelson_gun_406_x3,0.6908,0.754,0.68,1.447596989,kgeorge_gun_380_x3,0.675,0.7275,0.68,1.481481481,richelieu_gun_380_x3,0.675,0.7275,0.68,1.481481481,,,,,,,,,,
gun_11_x2_alt,,279,gun_11_x2_alt,,,brandenburg_gun_279_x2,1.07,1.151,0.82,0.934579439,dreadnought_gun_b_305_x2,1.045,1.126,0.82,0.956937799,nelson_gun_406_x2,0.759,0.8222,0.82,1.317523057,kgeorge_gun_380_x2,0.7375,0.79,0.82,1.355932203,richelieu_gun_380_x2,0.7375,0.79,0.82,1.355932203,,,,,,,,,,
gun_11_x3_alt,,279,gun_11_x3_alt,,,brandenburg_gun_279_x3,1.07,1.151,0.66,0.934579439,dreadnought_gun_b_305_x3,1.045,1.126,0.66,0.956937799,nelson_gun_406_x3,0.759,0.8222,0.66,1.317523057,kgeorge_gun_380_x3,0.7375,0.79,0.66,1.355932203,richelieu_gun_380_x3,0.7375,0.79,0.66,1.355932203,,,,,,,,,,
gun_12_x2_alt,,305,gun_12_x2_alt,,,agamemnon_gun_b_305_x2,1.136,1.217,0.82,0.88028169,dreadnought_gun_b_305_x2,1.136,1.217,0.82,0.88028169,nelson_gun_406_x2,0.8272,0.8904,0.82,1.208897485,kgeorge_gun_380_x2,0.8,0.8525,0.82,1.25,richelieu_gun_380_x2,0.8,0.8525,0.82,1.25,,,,,,,,,,
gun_12_x3_alt,,305,gun_12_x3_alt,,,agamemnon_gun_b_305_x3,1.136,1.217,0.66,0.88028169,dreadnought_gun_b_305_x3,1.136,1.217,0.66,0.88028169,nelson_gun_406_x3,0.8272,0.8904,0.66,1.208897485,kgeorge_gun_380_x3,0.8,0.8525,0.66,1.25,richelieu_gun_380_x3,0.8,0.8525,0.66,1.25,,,,,,,,,,
gun_13_x2_alt,,330,gun_13_x2_alt,,,agamemnon_gun_b_305_x2,1.227,1.308,0.88,0.814995925,dreadnought_gun_b_305_x2,1.227,1.308,0.88,0.814995925,nelson_gun_406_x2,0.8954,0.9586,0.88,1.116819299,kgeorge_gun_380_x2,0.8625,0.915,0.88,1.15942029,richelieu_gun_380_x2,0.8625,0.915,0.88,1.15942029,,,,,,,,,,
gun_13_x3_alt,,330,gun_13_x3_alt,,,agamemnon_gun_b_305_x3,1.227,1.308,0.705,0.814995925,dreadnought_gun_b_305_x3,1.227,1.308,0.705,0.814995925,nelson_gun_406_x3,0.8954,0.9586,0.705,1.116819299,kgeorge_gun_380_x3,0.8625,0.915,0.705,1.15942029,richelieu_gun_380_x3,0.8625,0.915,0.705,1.15942029,,,,,,,,,,
gun_14_x2_alt,,356,gun_14_x2_alt,,,agamemnon_gun_b_305_x2,1.318,1.399,0.88,0.758725341,dreadnought_gun_b_305_x2,1.318,1.399,0.88,0.758725341,nelson_gun_406_x2,0.9636,1.0268,0.88,1.03777501,kgeorge_gun_380_x2,0.925,0.9775,0.88,1.081081081,richelieu_gun_380_x2,0.925,0.9775,0.88,1.081081081,,,,,,,,,,
gun_14_x3_alt,,356,gun_14_x3_alt,,,agamemnon_gun_b_305_x3,1.318,1.399,0.705,0.758725341,dreadnought_gun_b_305_x3,1.318,1.399,0.705,0.758725341,nelson_gun_406_x3,0.9636,1.0268,0.705,1.03777501,kgeorge_gun_380_x3,0.925,0.9775,0.705,1.081081081,richelieu_gun_380_x3,0.925,0.9775,0.705,1.081081081,,,,,,,,,,
gun_15_x2_alt,,381,gun_15_x2_alt,,,agamemnon_gun_b_305_x2,1.409,1.49,0.9,0.709723208,dreadnought_gun_b_305_x2,1.409,1.49,0.9,0.709723208,nelson_gun_406_x2,1.0318,1.095,0.9,0.969180074,richelieu_gun_380_x2,0.9875,1.04,0.9,1.012658228,richelieu_gun_380_x2,0.9875,1.04,0.9,1.012658228,,,,,,,,,,
gun_15_x3_alt,,381,gun_15_x3_alt,,,agamemnon_gun_b_305_x3,1.409,1.49,0.72,0.709723208,dreadnought_gun_b_305_x3,1.409,1.49,0.72,0.709723208,nelson_gun_406_x3,1.0318,1.095,0.72,0.969180074,richelieu_gun_380_x3,0.9875,1.04,0.72,1.012658228,richelieu_gun_380_x3,0.9875,1.04,0.72,1.012658228,,,,,,,,,,
gun_16_x2_alt,,406,gun_16_x2_alt,,,agamemnon_gun_b_305_x2,1.5,1.581,0.93,0.666666667,dreadnought_gun_b_305_x2,1.5,1.581,0.93,0.666666667,nelson_gun_406_x2,1.1,1.1632,0.93,0.909090909,richelieu_gun_380_x2,1.05,1.1025,0.93,0.952380952,richelieu_gun_380_x2,1.05,1.1025,0.93,0.952380952,,,,,,,,,,
gun_16_x3_alt,,406,gun_16_x3_alt,,,agamemnon_gun_b_305_x3,1.5,1.581,0.75,0.666666667,dreadnought_gun_b_305_x3,1.5,1.581,0.75,0.666666667,nelson_gun_406_x3,1.1,1.1632,0.75,0.909090909,richelieu_gun_380_x3,1.05,1.1025,0.75,0.952380952,richelieu_gun_380_x3,1.05,1.1025,0.75,0.952380952,,,,,,,,,,
gun_17_x2_alt,,432,gun_17_x2_alt,,,nelson_gun_406_x2,1.1682,1.2314,0.95,0.856017805,kgeorge_gun_380_x2,1.1125,1.165,0.95,0.898876404,richelieu_gun_380_x2,1.1125,1.165,0.95,0.898876404,richelieu_gun_380_x2,1.1125,1.165,0.95,0.898876404,richelieu_gun_380_x2,1.1125,1.165,0.95,0.898876404,,,,,,,,,,
gun_17_x3_alt,,432,gun_17_x3_alt,,,nelson_gun_406_x3,1.1682,1.2314,0.775,0.856017805,kgeorge_gun_380_x3,1.1125,1.165,0.775,0.898876404,richelieu_gun_380_x3,1.1125,1.165,0.775,0.898876404,richelieu_gun_380_x3,1.1125,1.165,0.775,0.898876404,richelieu_gun_380_x3,1.1125,1.165,0.775,0.898876404,,,,,,,,,,
gun_18_x2_alt,,457,gun_18_x2_alt,,,nelson_gun_406_x2,1.2364,1.2996,0.985,0.808799741,kgeorge_gun_380_x2,1.175,1.2275,0.985,0.85106383,richelieu_gun_380_x2,1.175,1.2275,0.985,0.85106383,richelieu_gun_380_x2,1.175,1.2275,0.985,0.85106383,richelieu_gun_380_x2,1.175,1.2275,0.985,0.85106383,,,,,,,,,,
gun_18_x3_alt,,457,gun_18_x3_alt,,,nelson_gun_406_x3,1.2364,1.2996,0.81,0.808799741,kgeorge_gun_380_x3,1.175,1.2275,0.81,0.85106383,richelieu_gun_380_x3,1.175,1.2275,0.81,0.85106383,richelieu_gun_380_x3,1.175,1.2275,0.81,0.85106383,richelieu_gun_380_x3,1.175,1.2275,0.81,0.85106383,,,,,,,,,,
gun_19_x2_alt,,483,gun_19_x2_alt,,,nelson_gun_406_x2,1.3046,1.3678,0.95,0.766518473,kgeorge_gun_380_x2,1.2375,1.29,0.95,0.808080808,richelieu_gun_380_x2,1.2375,1.29,0.95,0.808080808,richelieu_gun_380_x2,1.2375,1.29,0.95,0.808080808,richelieu_gun_380_x2,1.2375,1.29,0.95,0.808080808,,,,,,,,,,
gun_19_x3_alt,,483,gun_19_x3_alt,,,nelson_gun_406_x3,1.3046,1.3678,0.78,0.766518473,kgeorge_gun_380_x3,1.2375,1.29,0.78,0.808080808,richelieu_gun_380_x3,1.2375,1.29,0.78,0.808080808,richelieu_gun_380_x3,1.2375,1.29,0.78,0.808080808,richelieu_gun_380_x3,1.2375,1.29,0.78,0.808080808,,,,,,,,,,
gun_20_x2_alt,,508,gun_20_x2_alt,,,nelson_gun_406_x2,1.3728,1.436,0.85,0.728438228,kgeorge_gun_380_x2,1.3,1.3525,0.85,0.769230769,richelieu_gun_380_x2,1.3,1.3525,0.85,0.769230769,richelieu_gun_380_x2,1.3,1.3525,0.85,0.769230769,richelieu_gun_380_x2,1.3,1.3525,0.85,0.769230769,,,,,,,,,,
gun_20_x3_alt,,508,gun_20_x3_alt,,,nelson_gun_406_x3,1.3728,1.436,0.7,0.728438228,kgeorge_gun_380_x3,1.3,1.3525,0.7,0.769230769,richelieu_gun_380_x3,1.3,1.3525,0.7,0.769230769,richelieu_gun_380_x3,1.3,1.3525,0.7,0.769230769,richelieu_gun_380_x3,1.3,1.3525,0.7,0.769230769,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1_alt_germany,,51,gun_2_x1_alt,germany,,small_gun_f_51_x1,1.75,1.9,,0.571428571,small_gun_g_51_x1,1.75,1.9,,0.571428571,,,,,,,,,,,iowa_gun_127_x1,0.81,0.91,,1.234567901,,,,,,,,,,
gun_2_x2_alt_germany,,51,gun_2_x2_alt,germany,,,,,,,,,,,,,,,,,,,,,,iowa_gun_127_x2,0.81,0.91,,1.234567901,,,,,,,,,,
gun_2_x3_alt_germany,,51,gun_2_x3_alt,germany,,,,,,,,,,,,,,,,,,,,,,iowa_gun_127_x3,0.81,0.91,,1.234567901,,,,,,,,,,
gun_2_x4_alt_germany,,51,gun_2_x4_alt,germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_3_x1_alt_germany,,76,gun_3_x1_alt,germany,,,,,,,,,,,,dd_s_gun_d_102_x1,1.155,1.29,,0.865800866,dd_s_gun_b_102_x1,1.155,1.29,,0.865800866,spee_gun_150_x1,0.744,0.87,,1.344086022,,,,,,,,,,
gun_3_x2_alt_germany,,76,gun_3_x2_alt,germany,,,,,,,vdt_gun_200_x2,0.6668,0.7668,,1.49970006,spee_gun_150_x2,0.744,0.87,,1.344086022,spee_gun_150_x2,0.744,0.87,,1.344086022,spee_gun_150_x2,0.835,0.945,,1.19760479,,,,,,,,,,
gun_3_x3_alt_germany,,76,gun_3_x3_alt,germany,,,,,,,,,,,,spee_gun_150_x3,0.744,0.87,,1.344086022,spee_gun_150_x3,0.744,0.87,,1.344086022,spee_gun_150_x3,0.835,0.945,,1.19760479,,,,,,,,,,
gun_3_x4_alt_germany,,76,gun_3_x4_alt,germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_4_x1_alt_germany,,102,gun_4_x1_alt,germany,,,,,,,,,,,,spee_gun_150_x1,0.874,1,,1.14416476,spee_gun_150_x1,0.874,1,,1.14416476,spee_gun_150_x1,0.874,1,,1.14416476,,,,,,,,,,
gun_4_x2_alt_germany,,102,gun_4_x2_alt,germany,,,,,,,vdt_gun_200_x2,0.7632,0.8632,,1.310272537,spee_gun_150_x2,0.874,1,,1.14416476,spee_gun_150_x2,0.874,1,,1.14416476,spee_gun_150_x2,0.874,1,,1.14416476,,,,,,,,,,
gun_4_x3_alt_germany,,102,gun_4_x3_alt,germany,,,,,,,,,,,,spee_gun_150_x3,0.874,1,,1.14416476,spee_gun_150_x3,0.874,1,,1.14416476,spee_gun_150_x3,0.874,1,,1.14416476,,,,,,,,,,
gun_5_x1_alt_germany_cl,,127,gun_5_x1_alt,germany,cl,,,,,,,,,,,bismarck_gun_105_x1,1.004,1.13,,0.996015936,spee_gun_150_x1,1.004,1.13,,0.996015936,spee_gun_150_x1,1.004,1.13,,0.996015936,,,,,,,,,,
gun_5_x2_alt_germany_cl,,127,gun_5_x2_alt,germany,cl,,,,,,vdt_gun_200_x2,0.8746,0.9746,,1.143379831,bismarck_gun_b_150_x2,0.8005,0.935,,1.249219238,bismarck_gun_150_x2,0.8005,0.935,,1.249219238,bismarck_gun_b_150_x2,0.8005,0.935,,1.249219238,,,,,,,,,,
gun_5_x3_alt_germany_cl,,127,gun_5_x3_alt,germany,cl,,,,,,,,,,,bismarck_gun_b_150_x3,0.8005,0.935,,1.249219238,bismarck_gun_150_x3,0.8005,0.935,,1.249219238,bismarck_gun_b_150_x3,0.8005,0.935,,1.249219238,,,,,,,,,,
gun_5_x1_alt_germany,,127,gun_5_x1_alt,germany,"tb, dd, ca, bc, bb",,,,,,,,,,,bismarck_gun_105_x1,1.004,1.13,,0.996015936,spee_gun_150_x1,1.004,1.13,,0.996015936,spee_gun_150_x1,1.004,1.13,,0.996015936,,,,,,,,,,
gun_5_x2_alt_germany,,127,gun_5_x2_alt,germany,"tb, dd, ca, bc, bb",,,,,,vdt_gun_200_x2,0.8746,0.9746,,1.143379831,bismarck_gun_b_150_x2,0.8005,0.935,,1.249219238,bismarck_gun_150_x2,0.8005,0.935,,1.249219238,bismarck_gun_b_150_x2,0.8005,0.935,,1.249219238,,,,,,,,,,
gun_5_x3_alt_germany,,127,gun_5_x3_alt,germany,"tb, dd, ca, bc, bb",,,,,,,,,,,bismarck_gun_b_150_x3,0.8005,0.935,,1.249219238,bismarck_gun_150_x3,0.8005,0.935,,1.249219238,bismarck_gun_b_150_x3,0.8005,0.935,,1.249219238,,,,,,,,,,
gun_6_x1_alt_germany,,151,gun_6_x1_alt,germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_6_x2_alt_germany,,152,gun_6_x2_alt,germany,,,,,,,vdt_gun_200_x2,0.986,1.086,,1.014198783,bismarck_gun_150_x2,0.955,1.0895,,1.047120419,bismarck_gun_150_x2,0.955,1.0895,,1.047120419,bismarck_gun_b_150_x2,0.955,1.0895,,1.047120419,,,,,,,,,,
gun_6_x3_alt_germany,,152,gun_6_x3_alt,germany,,,,,,,,,,,,bismarck_gun_150_x3,0.955,1.0895,,1.047120419,bismarck_gun_150_x3,0.955,1.0895,,1.047120419,bismarck_gun_b_150_x3,0.955,1.0895,,1.047120419,,,,,,,,,,
gun_7_x2_alt_germany,,178,gun_7_x2_alt,germany,,,,,,,vdt_gun_200_x2,1.0974,1.1974,,0.91124476,bismarck_gun_150_x2,1.1095,1.244,,0.901306895,bismarck_gun_150_x2,1.1095,1.244,,0.901306895,bismarck_gun_b_150_x2,1.1095,1.244,,0.901306895,,,,,,,,,,
gun_7_x3_alt_germany,,178,gun_7_x3_alt,germany,,,,,,,,,,,,bismarck_gun_150_x3,1.1095,1.244,,0.901306895,bismarck_gun_150_x3,1.1095,1.244,,0.901306895,bismarck_gun_b_150_x3,1.1095,1.244,,0.901306895,,,,,,,,,,
gun_8_x2_alt_germany,,203,gun_8_x2_alt,germany,,,,,,,vdt_gun_280_x2,0.7622,0.8413,,1.311991603,spee_gun_280_x2_a,0.6816,0.7489,,1.46713615,bismarck_gun_380_short_x2,0.6473,0.7064,,1.544878727,spee_gun_280_x2_a,0.6816,0.7489,,1.46713615,,,,,,,,,,
gun_8_x3_alt_germany,,203,gun_8_x3_alt,germany,,,,,,,,,,,,spee_gun_280_x3_a,0.6816,0.7489,,1.46713615,bismarck_gun_380_short_x3,0.6473,0.7064,,1.544878727,bismarck_gun_380_x3,0.5912,0.6448,,1.691474966,,,,,,,,,,
gun_9_x2_alt_germany,,229,gun_9_x2_alt,germany,,brandenburg_gun_279_x2,0.888,0.969,,1.126126126,vdt_gun_280_x2,0.8513,0.9304,,1.174674028,spee_gun_280_x2_a,0.7589,0.8262,,1.317696666,bismarck_gun_380_short_x2,0.7164,0.7755,,1.39586823,spee_gun_280_x2_a,0.7589,0.8262,,1.317696666,,,,,,,,,,
gun_9_x3_alt_germany,,229,gun_9_x3_alt,germany,,brandenburg_gun_279_x3,0.888,0.969,,1.126126126,,,,,,spee_gun_280_x3_a,0.7589,0.8262,,1.317696666,bismarck_gun_380_short_x3,0.7164,0.7755,,1.39586823,bismarck_gun_380_x3,0.6548,0.7084,,1.527183873,,,,,,,,,,
gun_10_x2_alt_germany,,254,gun_10_x2_alt,germany,,friedrich_gun_228_x2,0.9958,1.074,,1.004217714,vdt_gun_200_x2,1.4316,1.5316,,0.698519139,spee_gun_280_x2_a,0.8362,0.9035,,1.195886152,bismarck_gun_380_short_x2,0.7855,0.8446,,1.273074475,spee_gun_var_280_x2,0.8362,0.9035,,1.195886152,,,,,,,,,,
gun_10_x3_alt_germany,,254,gun_10_x3_alt,germany,,friedrich_gun_228_x3,0.9958,1.074,,1.004217714,,,,,,spee_gun_280_x3_a,0.8362,0.9035,,1.195886152,bismarck_gun_380_short_x3,0.7855,0.8446,,1.273074475,spee_gun_var_280_x3,0.8362,0.9035,,1.195886152,,,,,,,,,,
gun_11_x2_alt_germany,,279,gun_11_x2_alt,germany,,friedrich_gun_228_x2,1.084,1.1622,,0.922509225,vdt_gun_200_x2,1.543,1.643,,0.64808814,spee_gun_280_x2_a,0.9135,0.9808,,1.09469075,bismarck_gun_380_short_x2,0.8546,0.9137,,1.170138076,spee_gun_280_x2_a,0.9135,0.9808,,1.09469075,,,,,,,,,,
gun_11_x3_alt_germany,,279,gun_11_x3_alt,germany,,friedrich_gun_228_x3,1.084,1.1622,,0.922509225,,,,,,spee_gun_280_x3_a,0.9135,0.9808,,1.09469075,bismarck_gun_380_short_x3,0.8546,0.9137,,1.170138076,bismarck_gun_380_x3,0.782,0.8356,,1.278772379,,,,,,,,,,
